Title,Publisher,Address,Core Collection
20 ET 21-REVUE D HISTOIRE,PRESSES SCIENCES PO,"28 Rue Saint Guillaume, PARIS, France, 75017",Arts & Humanities Citation Index
2D MATERIALS,IOP PUBLISHING LTD,"TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE",Science Citation Index Expanded
3 BIOTECH,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",Science Citation Index Expanded
3C EMPRESA,AREA INNOVACION & DESARROLLO,"C/ELS ALZAMORA NO 17, ALCOY, ALICANTE, SPAIN, 03802",Emerging Sources Citation Index
3C TECNOLOGIA,3CIENCIAS,"C/ SANTA ROSA 15, ALCOY, SPAIN, 03802",Emerging Sources Citation Index
3C TIC,AREA INNOVACION & DESARROLLO,"C/ELS ALZAMORA NO 17, ALCOY, ALICANTE, SPAIN, 03802",Emerging Sources Citation Index
3D PRINTING AND ADDITIVE MANUFACTURING,MARY ANN LIEBERT,"INC , 140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801",Science Citation Index Expanded
3D PRINTING IN MEDICINE,SPRINGERNATURE,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",Emerging Sources Citation Index
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,PENERBIT UNIV KEBANGSAAN MALAYSIA,"PENERBIT UNIV KEBANGSAAN MALAYSIA, FAC SOCIAL SCIENCES & HUMANITIES, BANGI, Malaysia, SELANGOR, 43600",Emerging Sources Citation Index
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,UNIV BARCELONA,"FACULTAD FILOLOGIA , GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007",Emerging Sources Citation Index
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",Science Citation Index Expanded
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,GUNTER NARR VERLAG,"DISCHINGERWEG 5, TUBINGEN, GERMANY, D 72070",Arts & Humanities Citation Index
AACN ADVANCED CRITICAL CARE,AMER ASSOC CRITICAL CARE NURSES,"101 COLUMBIA, ALISO VIEJO, USA, CA, 92656",Emerging Sources Citation Index
AAPG BULLETIN,AMER ASSOC PETROLEUM GEOLOGIST,"1444 S BOULDER AVE, PO BOX 979, TULSA, USA, OK, 74119-3604",Science Citation Index Expanded
A & A PRACTICE,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",Emerging Sources Citation Index
AAPS JOURNAL,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Science Citation Index Expanded
AAPS PHARMSCITECH,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Science Citation Index Expanded
AASP CONTRIBUTIONS SERIES,AMER ASSOC STRATIGRAPHIC PALYNOLOGISTS FOUNDATION,"C/O VAUGHN M BRYANT, JR, PALNOLOGY LABORATORY, TEXAS A & M UNIV, COLLEGE STATION, UNITED STATES, TX, 77843-4352",Zoological Record
AATCC JOURNAL OF RESEARCH,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",Science Citation Index Expanded
AATCC REVIEW,AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC,"1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709",Science Citation Index Expanded
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Social Sciences Citation Index
ABAKOS,PONTIFICIA UNIV CATOLICA MINAS GERAIS,"DEPT CIENCIAS BIOLOGICAS, AV DOM JOSE GASPAR 500, CORACAO EUCARISTICO, CEP: 30.535-610, BELO HORIZONTE, BRAZIL, MG, 00000",Emerging Sources Citation Index
ABANICO VETERINARIO,SERGIO MARTINEZ GONZALEZ,"TEZONTLE 171 PEDREGAL SAN JUAN, TEPIC NAYARIT, MEXICO, C P 63164",Emerging Sources Citation Index
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,COLEGIO BRASILEIRO CIRURGIA DIGESTIVA-CBCD,"AV BRIGADEIRO LUIZ ANTONIO, 278-6-SALAS 10 E 11, SAO PAULO SP, BRAZIL, 01318-901",Emerging Sources Citation Index
ABC TAXA,ROYAL BELGIAN INST NATURAL SCI,"BELGIAN FOCAL POINT GLOBAL TAXONOMY INITIATIVE, VAUTIERSTRAAT 29, BRUSSELS, BELGIUM, B-1000",Biological Abstracts | BIOSIS Previews | Zoological Record
ABDOMINAL RADIOLOGY,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Science Citation Index Expanded
ABE JOURNAL,INVISU-CNRS-INHA,"INST NAT HISTOIRE ART , 2 RUE VIVIENNE, PARIS, FRANCE, 75002",Emerging Sources Citation Index
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",Science Citation Index Expanded
ABHANDLUNGEN AUS DEM WESTFAELISCHEN MUSEUM FUER NATURKUNDE,WESTFAELISCHES MUSEUM NATURKUNDE,"SENTRUPER STRASSE 285, MUENSTER, GERMANY, 48161",Zoological Record
ABHANDLUNGEN DER DELATTINIA,EIGENVERLAG DELATTINIA,"C/O ZENTRUM FUER BIODOKUMENTATION DES SAARLANDES (ZFB), AM BERGWERK 10, LANDSWEILER-REDEN, GERMANY, D-66578",Zoological Record
ABHANDLUNGEN DER GEOLOGISCHEN BUNDESANSTALT-VIENNA,GEOLOGISCHE BUNDESANSTALT,"RASUMOFSKYGASSE 23, VIENNA, AUSTRIA, A-1031",Zoological Record
ABHANDLUNGEN DER SENCKENBERG GESELLSCHAFT FUR NATURFORSCHUNG,E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG,"NAEGELE U OBERMILLER, SCIENCE PUBLISHERS, JOHANNESSTRASSE 3A, STUTTGART, GERMANY, D 70176",Biological Abstracts | BIOSIS Previews | Zoological Record
ABHANDLUNGEN DER ZOOLOGISCH-BOTANISCHEN GESELLSCHAFT IN OESTERREICH,ZOOLOGISCH-BOTANISCHE GESELLSCHAFT IN OESTERREICH,"ALTHANSTRASSE 14, VIENNA, AUSTRIA,",Zoological Record
ABHANDLUNGEN NATURWISSENSCHAFTLICHEN VEREIN ZU BREMEN,NATURWISSENSCHAFTLICHER VEREIN ZU BREMEN,"UEBERSEE-MUSEUM, BAHNHOFSPLATZ 13, BREMEN, GERMANY,",Biological Abstracts | BIOSIS Previews | Zoological Record
ABHANDLUNGEN UND BERICHTE AUS DEM MUSEUM HEINEANUM,MUSEUM HEINEANUM,"DOMPLATZ 37, HALBERSTADT, GERMANY, D-38820",Zoological Record
ABHANDLUNGEN UND BERICHTE FUER NATURKUNDE,MUSEUM NATURKUNDE,"OTTO-VON-GUERICKE-STRASSE 68-73, MAGDEBURG, GERMANY, D-39104",Zoological Record
ABHANDLUNG NATURHISTORISCHE GESELLSCHAFT NUERNBERG,NATURHISTORISCHE GESELLSCHAFT NUERNBERG E V,"MARIENTORGRABEN 8, NUREMBERG, GERMANY, 90402",Biological Abstracts | BIOSIS Previews | Zoological Record
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,AB IMPERIO INC,"116 GLENDALE RD, AMHERST, United States, MA, 01002",Arts & Humanities Citation Index
ABIOTECH,SPRINGERNATURE,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",Emerging Sources Citation Index
ABORIGINAL HISTORY,AUSTRALIAN NATL UNIV,"DEPT HISTORY , J B CHIFLEY BLDG NO 15, CANBERRA, AUSTRALIA, ACT 0200",Emerging Sources Citation Index
ABORIGINAL POLICY STUDIES,UNIV ALBERTA,"DEPT SOCIOLOGY, EDMONTON, CANADA, ALBERTA, T6G 2E1",Emerging Sources Citation Index
ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL,UNIV BARCELONA,"FACULTAD FILOLOGIA , GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007",Emerging Sources Citation Index
ABSTRACTS OF THE GENERAL MEETING OF THE AMERICAN SOCIETY FOR MICROBIOLOGY,AMER SOC MICROBIOLOGY,"1752 N ST NW, WASHINGTON, USA, DC, 20036-2904",BIOSIS Previews | BIOSIS Reviews Reports And Meetings
ABSTRACTS OF THE INTERSCIENCE CONFERENCE ON ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,AMER SOC MICROBIOLOGY,"1752 N ST NW, WASHINGTON, USA, DC, 20036-2904",BIOSIS Previews | BIOSIS Reviews Reports And Meetings
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",Social Sciences Citation Index
ACADEMIA Y VIRTUALIDAD,UNIV MILITAR NUEVA GRANADA,"FAC DERECHO, SEDE BOGOTA CRA 11 N 101-80, BOGOTA, COLOMBIA, 00000",Emerging Sources Citation Index
ACADEMIC EMERGENCY MEDICINE,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Science Citation Index Expanded
ACADEMIC JOURNAL OF MODERN PHILOLOGY,COMMITTEE PHILOLOGY POLISH ACAD SCIENCES,"WROCLAW BRANCH , COMMITTEE PHILOLOGY POLISH ACAD SCIENCES, WROCLAW BRANCH, WROCLAW , Poland, 00000",Emerging Sources Citation Index
ACADEMIC MEDICINE,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",Science Citation Index Expanded
ACADEMIC PATHOLOGY,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Emerging Sources Citation Index
ACADEMIC PEDIATRICS,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Science Citation Index Expanded
ACADEMIC PSYCHIATRY,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Social Sciences Citation Index
ACADEMIC RADIOLOGY,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",Science Citation Index Expanded
ACADEMIE ROYALE DES SCIENCES D OUTRE-MER BULLETIN DES SEANCES,ACAD ROYAL SCI,"RUE DEFACQZ 1 BOITE 3, BRUSSELS, BELGIUM, B-1000",Zoological Record
ACADEMY OF MANAGEMENT ANNALS,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
ACADEMY OF MANAGEMENT DISCOVERIES,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",Social Sciences Citation Index
